,기준연도,학교종류,설립구분,지역,상태,학교,학생정원,학생모집정지인원,총재학생,정원내재학생,정원외재학생,재학생충원율[총재학생/(학생정원-정지인원)x100],정원내학생충원율[정원내재학생/(학생정원-정지인원)x100]
0,2020 년 하반기,대학교,사립,경북,기존,가야대학교(고령) _제2캠퍼스,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021 년 상반기,대학교,사립,경북,기존,가야대학교(고령) _제2캠퍼스,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020 년 하반기,대학교,사립,경남,기존,가야대학교(김해) ,2434.0,0.0,2049.0,1873.0,176.0,84.2,77.0
3,2021 년 상반기,대학교,사립,경남,기존,가야대학교(김해) ,2317.0,0.0,2022.0,1860.0,162.0,87.3,80.3
4,2020 년 하반기,대학교,사립,경기,기존,가천대학교 ,15374.0,0.0,17787.0,15080.0,2707.0,115.7,98.1
5,2021 년 상반기,대학교,사립,경기,기존,가천대학교 ,15474.0,0.0,19308.0,16251.0,3057.0,124.8,105.0
6,2020 년 하반기,대학교,사립,강원,기존,가톨릭관동대학교 ,8498.0,0.0,7531.0,6915.0,616.0,88.6,81.4
7,2021 년 상반기,대학교,사립,강원,기존,가톨릭관동대학교 ,8420.0,0.0,7458.0,6872.0,586.0,88.6,81.6
8,2020 년 하반기,대학교,사립,충북,기존,가톨릭꽃동네대학교 ,432.0,0.0,440.0,416.0,24.0,101.9,96.3
9,2021 년 상반기,대학교,사립,충북,기존,가톨릭꽃동네대학교 ,432.0,0.0,428.0,404.0,24.0,99.1,93.5
10,2020 년 하반기,대학교,사립,경기,기존,가톨릭대학교 ,5998.0,0.0,6504.0,5707.0,797.0,108.4,95.1
11,2021 년 상반기,대학교,사립,경기,기존,가톨릭대학교 ,6088.0,0.0,6977.0,6122.0,855.0,114.6,100.6
12,2020 년 하반기,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,878.0,0.0,921.0,865.0,56.0,104.9,98.5
13,2021 년 상반기,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,878.0,0.0,921.0,873.0,48.0,104.9,99.4
14,2020 년 하반기,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,210.0,0.0,225.0,212.0,13.0,107.1,101.0
15,2021 년 상반기,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,200.0,0.0,224.0,213.0,11.0,112.0,106.5
16,2020 년 하반기,대학교,사립,서울,기존,감리교신학대학교 ,800.0,0.0,769.0,734.0,35.0,96.1,91.8
17,2021 년 상반기,대학교,사립,서울,기존,감리교신학대학교 ,800.0,0.0,740.0,707.0,33.0,92.5,88.4
18,2020 년 하반기,대학교,사립,경기,기존,강남대학교 ,5986.0,0.0,6093.0,5537.0,556.0,101.8,92.5
19,2021 년 상반기,대학교,사립,경기,기존,강남대학교 ,5964.0,0.0,6597.0,6059.0,538.0,110.6,101.6
20,2020 년 하반기,대학교,국립,강원,기존,강릉원주대학교 ,5456.0,0.0,5340.0,4906.0,434.0,97.9,89.9
21,2021 년 상반기,대학교,국립,강원,기존,강릉원주대학교 ,5453.0,0.0,5478.0,5003.0,475.0,100.5,91.7
22,2020 년 하반기,대학교,국립,강원,기존,강릉원주대학교 _제2캠퍼스,1956.0,0.0,1939.0,1828.0,111.0,99.1,93.5
23,2021 년 상반기,대학교,국립,강원,기존,강릉원주대학교 _제2캠퍼스,1959.0,0.0,2058.0,1924.0,134.0,105.1,98.2
24,2020 년 하반기,대학교,국립,강원,기존,강원대학교 ,12139.0,0.0,13000.0,11904.0,1096.0,107.1,98.1
25,2021 년 상반기,대학교,국립,강원,기존,강원대학교 ,12164.0,0.0,13610.0,12488.0,1122.0,111.9,102.7
26,2020 년 하반기,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,6116.0,0.0,5386.0,5028.0,358.0,88.1,82.2
27,2021 년 상반기,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,6116.0,0.0,5687.0,5323.0,364.0,93.0,87.0
28,2020 년 하반기,대학교,사립,서울,기존,건국대학교 ,12138.0,0.0,14607.0,11866.0,2741.0,120.3,97.8
29,2021 년 상반기,대학교,사립,서울,기존,건국대학교 ,12138.0,0.0,15751.0,12863.0,2888.0,129.8,106.0
30,2020 년 하반기,대학교,사립,충북,기존,건국대학교(글로컬) _분교,6231.0,0.0,6624.0,5900.0,724.0,106.3,94.7
31,2021 년 상반기,대학교,사립,충북,기존,건국대학교(글로컬) _분교,6196.0,0.0,7014.0,6288.0,726.0,113.2,101.5
32,2020 년 하반기,대학교,사립,충남,기존,건양대학교 ,3485.0,0.0,3460.0,3192.0,268.0,99.3,91.6
33,2021 년 상반기,대학교,사립,충남,기존,건양대학교 ,3410.0,0.0,3277.0,3037.0,240.0,96.1,89.1
34,2020 년 하반기,대학교,사립,대전,기존,건양대학교 _제2캠퍼스,3405.0,0.0,3461.0,3231.0,230.0,101.6,94.9
35,2021 년 상반기,대학교,사립,대전,기존,건양대학교 _제2캠퍼스,3390.0,0.0,3477.0,3237.0,240.0,102.6,95.5
36,2020 년 하반기,사이버대학(대학),사립,대전,기존,건양사이버대학교 ,3000.0,0.0,3236.0,2685.0,551.0,107.9,89.5
37,2021 년 상반기,사이버대학(대학),사립,대전,기존,건양사이버대학교 ,2975.0,0.0,3489.0,2839.0,650.0,117.3,95.4
38,2020 년 하반기,대학교,사립,경기,기존,경기대학교 ,10447.0,0.0,11241.0,9891.0,1350.0,107.6,94.7
39,2021 년 상반기,대학교,사립,경기,기존,경기대학교 ,10445.0,0.0,11946.0,10466.0,1480.0,114.4,100.2
40,2020 년 하반기,대학교,사립,서울,기존,경기대학교 _제2캠퍼스,1312.0,0.0,2024.0,1323.0,701.0,154.3,100.8
41,2021 년 상반기,대학교,사립,서울,기존,경기대학교 _제2캠퍼스,1312.0,0.0,2087.0,1362.0,725.0,159.1,103.8
42,2020 년 하반기,대학교,국립,경남,폐교,경남과학기술대학교 ,4767.0,0.0,4562.0,4361.0,201.0,95.7,91.5
43,2021 년 상반기,대학교,국립,경남,폐교,경남과학기술대학교 ,4736.0,0.0,4752.0,4531.0,221.0,100.3,95.7
44,2020 년 하반기,대학교,사립,경남,기존,경남대학교 ,11569.0,0.0,10473.0,9682.0,791.0,90.5,83.7
45,2021 년 상반기,대학교,사립,경남,기존,경남대학교 ,11391.0,0.0,10792.0,9963.0,829.0,94.7,87.5
46,2020 년 하반기,대학교,사립,강원,기존,경동대학교 ,1000.0,0.0,1105.0,597.0,508.0,110.5,59.7
47,2021 년 상반기,대학교,사립,강원,기존,경동대학교 ,472.0,0.0,751.0,277.0,474.0,159.1,58.7
48,2020 년 하반기,대학교,사립,강원,기존,경동대학교 _제3캠퍼스,3710.0,0.0,3879.0,3554.0,325.0,104.6,95.8
49,2021 년 상반기,대학교,사립,강원,기존,경동대학교 _제3캠퍼스,3743.0,0.0,3990.0,3654.0,336.0,106.6,97.6
50,2020 년 하반기,대학교,사립,경기,기존,경동대학교 _제4캠퍼스,2430.0,0.0,2372.0,2114.0,258.0,97.6,87.0
51,2021 년 상반기,대학교,사립,경기,기존,경동대학교 _제4캠퍼스,2784.0,0.0,2808.0,2561.0,247.0,100.9,92.0
52,2020 년 하반기,대학교,국립,대구,기존,경북대학교 ,19070.0,0.0,20415.0,18359.0,2056.0,107.1,96.3
